Per Info No,Data No,Gonio,Echo,Date,Subject,Pattern,Trial Num,Depth,Analysis Num,FP Selection Pattern,FP Detection Pattern,Frame Range Pattern,Lowpass Filter Pattern,Regularization Patten,RMSE,R2,Corrcoef,Updated Date
1,6.0,202211081334.csv,20221108 133448.mp4,20221108.0,Katagi,1.0,1.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,12.341124080063018,0.690249432894036,0.8503790169899484,2022/12/05 21:07
2,7.0,202211081339.csv,20221108 133918.mp4,20221108.0,Katagi,1.0,2.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,13.983529465322167,0.5972837756214722,0.8409362472631468,2022/12/05 21:07
3,8.0,202211081343.csv,20221108 134301.mp4,20221108.0,Katagi,1.0,3.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,17.95526570060488,-0.0169469875881729,0.2907618677251895,2022/12/05 21:07
4,9.0,202211081345.csv,20221108 134549.mp4,20221108.0,Katagi,1.0,4.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,11.370713202110975,0.7007393194641632,0.8413572770122166,2022/12/05 21:07
5,10.0,202211081348.csv,20221108 134845.mp4,20221108.0,Katagi,1.0,5.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,20.55384764348917,0.0065094543514471,0.4517100633939584,2022/12/05 21:07
6,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,6.02506289406084,0.8893549808768445,0.9842070224443508,2022/12/05 21:07
7,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,18.70411489879338,-0.0953127797565813,0.8443408965334127,2022/12/05 21:07
8,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,11.870512551787757,0.5812046270883707,0.7756345314446252,2022/12/05 21:07
9,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,8.902245233073673,0.751818597757109,0.8830293518143804,2022/12/05 21:07
10,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,1.0,1.0,1.0,3.0,1.0,2.0,11.944680769676202,0.5614565564661242,0.7657230260185115,2022/12/05 21:07
11,6.0,202211081334.csv,20221108 133448.mp4,20221108.0,Katagi,1.0,1.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,16.472820311069935,0.4481277018615281,0.7195215049039936,2022/12/06 09:58
12,7.0,202211081339.csv,20221108 133918.mp4,20221108.0,Katagi,1.0,2.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,16.233117596862538,0.4572880400356872,0.6885752343293914,2022/12/06 09:58
13,8.0,202211081343.csv,20221108 134301.mp4,20221108.0,Katagi,1.0,3.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,14.485801821748655,0.3380888138666084,0.6020695624839698,2022/12/06 09:58
14,9.0,202211081345.csv,20221108 134549.mp4,20221108.0,Katagi,1.0,4.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,13.010646714292449,0.6081931571511522,0.8070104827855139,2022/12/06 09:58
15,10.0,202211081348.csv,20221108 134845.mp4,20221108.0,Katagi,1.0,5.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,15.50439424183102,0.4346894654538465,0.6622418238880912,2022/12/06 09:58
16,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,6.689932244195959,0.8635881379543487,0.9595642507065912,2022/12/06 09:58
17,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,8.410024986271706,0.778558811481625,0.9483967972077636,2022/12/06 09:58
18,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,9.892940496628327,0.7091200911889387,0.8421823017038812,2022/12/06 09:58
19,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,8.22705890256585,0.7880373503011739,0.9339361075794432,2022/12/06 09:58
20,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,2.0,1.0,1.0,3.0,1.0,2.0,12.505012497802944,0.5193468555075341,0.8756727893558858,2022/12/06 09:58
21,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,3.0,1.0,1.0,3.0,1.0,1.0,7.169690830581454,0.8433214456358117,0.964508024210413,2022/12/06 11:11
22,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,3.0,1.0,1.0,3.0,1.0,1.0,9.173737871630776,0.73651464300865,0.8606752670257208,2022/12/06 11:11
23,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,3.0,1.0,1.0,3.0,1.0,1.0,10.551361955623994,0.6691127946197268,0.8506453684646734,2022/12/06 11:11
24,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,3.0,1.0,1.0,3.0,1.0,1.0,6.8307766844519895,0.8538797854429084,0.9242095777467008,2022/12/06 11:11
25,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,3.0,1.0,1.0,3.0,1.0,1.0,9.824070071520817,0.703348580651268,0.9070110558057652,2022/12/06 11:11
26,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,5.722665942131856,0.9001827757935545,0.9691283219974556,2022/12/06 11:42
27,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,7.931872255335024,0.8030231201376565,0.9635269495802096,2022/12/06 11:42
28,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,9.00558087869221,0.7589615125232597,0.8712360782921108,2022/12/06 11:42
29,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,8.321631527053004,0.7831361866985005,0.9415381768093458,2022/12/06 11:42
30,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,13.340447381213648,0.4529786008191125,0.8732713944368283,2022/12/06 11:42
31,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,7.688190679569414,0.8198405735066845,0.9279637886289858,2022/12/06 13:09
32,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,6.137655714960798,0.882057893948765,0.949304486191414,2022/12/06 13:09
33,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,11.866599348224858,0.5814806996524987,0.7955330364029642,2022/12/06 13:09
34,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,7.534545090461783,0.8222194690059179,0.9707599499451708,2022/12/06 13:09
35,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,4.796974044243273,0.9292708783585438,0.9639907236808593,2022/12/06 13:09
36,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,7.259928317601658,0.8393527247234506,0.9311144976920606,2022/12/06 13:50
37,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,10.700502743229166,0.6415140023685704,0.9209621762481012,2022/12/06 13:50
38,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,12.464006948735168,0.5382804151982201,0.7644764901683849,2022/12/06 13:50
39,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,8.845959647452128,0.754946993952189,0.9158665932379906,2022/12/06 13:50
40,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,4.87410864620638,0.9269779638250188,0.9634894303919512,2022/12/06 13:50
41,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,6.15171425929349,0.8846544064620767,0.9739988202592976,2022/12/06 14:38
42,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,8.922486532388495,0.7507497321151158,0.9520556653952544,2022/12/06 14:38
43,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,12.341409016372689,0.547318836719934,0.8026652512698702,2022/12/06 14:38
44,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,5.420430070658459,0.9079894517747644,0.9582737576259478,2022/12/06 14:38
45,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,10.850549596212154,0.6381179845191773,0.8435716977419574,2022/12/06 14:38
46,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,7.358158081170075,0.8349760696415642,0.9272501744512808,2022/12/06 15:11
47,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,7.3495529556026495,0.8308836181932229,0.9193539019944252,2022/12/06 15:11
48,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.817592682705738,0.7135340874448682,0.9124863757770884,2022/12/06 15:11
49,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.01579281425508,0.7454471449869648,0.889065343902083,2022/12/06 15:11
50,15.0,202211081404.csv,20221108 140434.mp4,20221108,Katagi,1.0,10.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.458311370557343,0.7250265632676884,0.8625601544683457,2022/12/06 15:11
